deals.id,deals.cat_id,deals.fee_curr_id,deals.name,deals.name2,deals.show_text,deals.wants,deals.used,deals.is_shop,deals.not_gifted,deals.url,deals.my_client,deals.icon,deals.img,deals.template_,deals.calcs_,deals.min_pay,deals.max_pay,deals.fee,deals.tax,deals.fee_min,deals.fee_max,deals.average_,deals.count_
417,3,2,ЦентрТелеком - Тульская обл.,CentrTelekom - Tulskaya obl.,<NULL>,287,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0442\u0435\u043b\u0435\u0444\u043e\u043d\u0430:""}, {""l"": "" (xxxxx)"", ""n"": ""acc1""}, {""l"": "" (xxxxxx)"", ""n"": ""acc2""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
418,3,2,ЦентрТелеком - Брянск,CentrTelekom - Bryansk,<NULL>,273,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0441\u0447\u0435\u0442\u0430:"", ""n"": ""acc1""}, {""l"": ""\u0422\u0438\u043f \u043f\u043b\u0430\u0442\u0435\u0436\u0430:"", ""n"": ""acc2""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
419,1,2,копия п2п,kopiya p2p,<NULL>,106,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u0430\u0437\u043d\u0430\u0447\u0435\u043d\u0438\u0435 \u043f\u043b\u0430\u0442\u0435\u0436\u0430:"", ""n"": ""acc1""}, {""l"": ""\u043f\u0435\u0440\u0435\u0432\u043e\u0434 \u043d\u0430 email"", ""n"": ""acc2""}, {""l"": ""Email \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc3""}, {""l"": ""\u2116 \u0441\u0447\u0435\u0442\u0430 \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc4""}, {""l"": ""C\u043e\u043e\u0431\u0449\u0435\u043d\u0438\u0435 \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044e:"", ""n"": ""acc5""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
420,2,2,World of Warcraft (60 дней),World of Warcraft (60 dnyay),<NULL>,256,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
421,2,2,EVE Online,EVE Online,<NULL>,306,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}, {""n"": ""acc2""}, {""n"": ""acc3""}, {""n"": ""acc4""}, {""n"": ""acc5""}, {""n"": ""acc6""}, {""n"": ""acc7""}, {""n"": ""acc8""}, {""n"": ""acc9""}, {""n"": ""acc10""}, {""n"": ""acc11""}, {""n"": ""acc12""}, {""n"": ""acc13""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
422,3,2,Ростелеком-ЦТ-Брянск,Rostelekom-CT-Bryansk,<NULL>,264,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0441\u0447\u0435\u0442\u0430:"", ""n"": ""acc1""}, {""l"": ""\u0422\u0438\u043f \u043f\u043b\u0430\u0442\u0435\u0436\u0430:"", ""n"": ""acc2""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
423,1,2,МТТ-ЦТ-Брянск,MTT-CT-Bryansk,<NULL>,102,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0441\u0447\u0435\u0442\u0430:"", ""n"": ""acc1""}, {""l"": ""\u0422\u0438\u043f \u043f\u043b\u0430\u0442\u0435\u0436\u0430:"", ""n"": ""acc2""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
424,3,2,Ростелеком - Центр. Тамбов,Rostelekom - Centr. Tambov,<NULL>,261,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0441\u0447\u0435\u0442\u0430: (10xxxxxxxxxx \u0438\u043b\u0438  475xxxxxxx)"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
425,3,2,ЦентрТелеком - Тамбовская обл.,CentrTelekom - Tambovskaya obl.,<NULL>,275,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0441\u0447\u0435\u0442\u0430:"", ""n"": ""acc1""}, {""l"": ""\u0422\u0438\u043f \u043f\u043b\u0430\u0442\u0435\u0436\u0430:"", ""n"": ""acc2""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
426,1,2,Домолинк - Тамбов,Domolink - Tambov,<NULL>,105,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u043b\u0438\u0446\u0435\u0432\u043e\u0433\u043e \u0441\u0447\u0435\u0442\u0430: (12 \u0441\u0438\u043c\u0432\u043e\u043b\u043e\u0432)"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
427,2,2,World of Warcraft - экспериментальная витрина,World of Warcraft - eksperimentalnaya vitrina,<NULL>,274,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
428,1,2,"ООО ""Глобал Пеймент"" (расчетный счет)","OOO ""Global Pyayment"" (raschetnyy schet)",<NULL>,101,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""Email \u0434\u043b\u044f \u0441\u0432\u044f\u0437\u0438:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
429,1,2,"ООО Финансовая компания ""Дорадо"" (расчетный счет)","OOO Finansovaya kompaniya ""Dorado"" (raschetnyy sch",<NULL>,103,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""Email \u0434\u043b\u044f \u0441\u0432\u044f\u0437\u0438:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
430,3,2,"ООО ""Интернет Финанс"" (расчетный счет)","OOO ""Internet Finans"" (raschetnyy schet)",<NULL>,271,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""Email \u0434\u043b\u044f \u0441\u0432\u044f\u0437\u0438:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
431,1,2,"ООО ""Квадро Пресс"" (расчетный счет)","OOO ""Kvadro Press"" (raschetnyy schet)",<NULL>,105,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""Email \u0434\u043b\u044f \u0441\u0432\u044f\u0437\u0438:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
